City,Month,Site Name,Work Type,Quantity,Total Site Bill
RAIPUR,May-25,3RA SHIFTING,25mm Flexible,120,41692
RAIPUR,May-25,3RA SHIFTING,Angle,3,41692
RAIPUR,May-25,3RA SHIFTING,DOC<150,1,41692
DURG,Jun-25,RCQ01 TO 06,ODF First Cable,14638,367284
DURG,Jun-25,RCQ01 TO 06,ODF Common cable,560,367284
DURG,Jun-25,RCQ01 TO 06,Angle,27,367284
DURG,Jun-25,RCQ01 TO 06,6 MTR Pole/ 8 mtr pole,4,367284
DURG,Jun-25,2TW100701 02 03,Refilling Cable ,346,7420
DURG,Jun-25,2TW100701 02 03,8F FAT,3,7420
DURG,Jun-25,2TW100701 02 03,Extra Splicing,21,7420
DURG,Jun-25,2TW100701 02 03,25mm Flexible,3,7420
DURG,Jun-25,RCB130409 10,Refilling Cable ,390,7414
DURG,Jun-25,RCB130409 10,8F FAT,2,7414
DURG,Jun-25,RCB130409 10,Extra Splicing,12,7414
DURG,Jun-25,RCB130409 10,25mm Flexible,2,7414
DURG,Jun-25,2II060601 05,Refilling Cable ,930,18676
DURG,Jun-25,2II060601 05,8F FAT,5,18676
DURG,Jun-25,2II060601 05,Extra Splicing,51,18676
DURG,Jun-25,2II060601 05,25mm Flexible,5,18676
DURG,Jun-25,2II060606,Refilling Cable ,240,4304
DURG,Jun-25,2II060606,8F FAT,1,4304
DURG,Jun-25,2II060606,Extra Splicing,3,4304
DURG,Jun-25,2II060606,25mm Flexible,1,4304
DURG,Jun-25,2II030503,Refilling Cable ,200,3787
DURG,Jun-25,2II030503,8F FAT,1,3787
DURG,Jun-25,2II030503,Extra Splicing,6,3787
DURG,Jun-25,2II030503,25mm Flexible,1,3787
RAIPUR,Jul-25,RAX04,ODF First Cable,1801,54613
RAIPUR,Jul-25,RAX04,ODF Common cable,215,54613
RAIPUR,Jul-25,RAX04,Angle,8,54613
RAIPUR,Jul-25,RAX04,6 MTR Pole/ 8 mtr pole,3,54613
RAIPUR,Jul-25,RL6040610,Refilling Cable ,265,4827
RAIPUR,Jul-25,RL6040610,8F FAT,1,4827
RAIPUR,Jul-25,RL6040610,Extra Splicing,6,4827
RAIPUR,Jul-25,RL6040610,25mm Flexible,1,4827
DURG,Jul-25,"RDF 03, 06, 07, 08",ODF First Cable,7159,183027
DURG,Jul-25,"RDF 03, 06, 07, 08",ODF Common cable,144,183027
DURG,Jul-25,"RDF 03, 06, 07, 08",Angle,11,183027
DURG,Jul-25,"RDF 03, 06, 07, 08",6 MTR Pole/ 8 mtr pole,5,183027
DURG,Jul-25,"2II010410, 15",Refilling Cable ,1227,23441
DURG,Jul-25,"2II010410, 15",8F FAT,6,23441
DURG,Jul-25,"2II010410, 15",Extra Splicing,42,23441
DURG,Jul-25,"2II010410, 15",25mm Flexible,7,23441
RAIPUR,Aug-25,3DU060113,Refilling Cable ,84,1931
RAIPUR,Aug-25,3DU060113,8F FAT,1,1931
RAIPUR,Aug-25,3DU060113,Extra Splicing,6,1931
RAIPUR,Aug-25,3DU060113,25mm Flexible,1,1931
RAIPUR,Aug-25,RCC CUTOVER,Refilling Cable ,2301,47386
RAIPUR,Aug-25,RCC CUTOVER,FDMS 48F,2,47386
RAIPUR,Aug-25,RCC CUTOVER,Extra Splicing,60,47386
RAIPUR,Aug-25,RCC CUTOVER,Angle,2,47386
RAIPUR,Aug-25,RCC CUTOVER,6 MTR Pole/ 8 mtr pole,3,47386
RAIPUR,Aug-25,RFY ODF,ODF First Cable,8528,250814
RAIPUR,Aug-25,RFY ODF,ODF Common cable,925,250814
RAIPUR,Aug-25,RFY ODF,Angle,34,250814
RAIPUR,Aug-25,RFY ODF,6 MTR Pole/ 8 mtr pole,12,250814
